ItemCode,Brand,Care,co2,water,land,MainImage
P239.6601,66d5aed1ff025cb3bad4ea10,,2.01,0,0,
P261.080,66964a11205e51747f3e62f4,,7.07,,,P261.080__B_1__36993f7ff20c43538f06a624b94cce4c.jpg
P261.250,66964a11205e51747f3e62f4,,2.16,,,P261.250__B_1__be9ef02698fe42e5bc8e9b1eee6cd5c0.jpg
P261.251,66964a11205e51747f3e62f4,,2.16,,,P261.251__B_1__b728ba4dda9a4b59b775139a4f39a2e3.jpg
P261.252,66964a11205e51747f3e62f4,,2.16,,,P261.252__B_1__60512687485e4cc89191ba3d821d259b.jpg
P261.255,66964a11205e51747f3e62f4,,2.16,,,P261.255__B_1__e7cbd5d772db418fb5a23cb2121a7c87.jpg
P261.257,66964a11205e51747f3e62f4,,2.16,,,P261.257__B_1__0109bee4f8874b2da8ee8cab17a17cbb.jpg
P262.110,66964a11205e51747f3e62f4,,2.6,,,P262.110__B_1__856db765587a47cbbc561e8504c4f504.jpg
P262.111,66964a11205e51747f3e62f4,,2.6,,,P262.111__B_1__2a201efbfd0c4fff960625d9b1f64f80.jpg
P262.115,66964a11205e51747f3e62f4,,2.6,,,P262.115__B_1__b61a8c1b2aba43e1abffdb838c912ef0.jpg
P262.117,66964a11205e51747f3e62f4,,2.6,,,P262.117__B_1__885e7d270dfd41f4a29051cd13c90cf3.jpg
P262.840,66d5aed1ff025cb3bad4ea10,,1.28,,,P262.840__B_1__04926636099e4448b7fa6397fe45af9c.jpg
P262.841,66d5aed1ff025cb3bad4ea10,,1.28,,,P262.841__B_1__600504b990af4a5fb64da26317dd3471.jpg
P262.843,66d5aed1ff025cb3bad4ea10,,1.28,,,P262.843__B_1__2fd7a53ad88f4ff9bfbdbf9d75e31e98.jpg
P262.844,66d5aed1ff025cb3bad4ea10,,1.28,,,P262.844__B_1__e9c25b66bcbc4d7e877a79c3ae8595a6.jpg
P262.845,66d5aed1ff025cb3bad4ea10,,1.28,,,P262.845__B_1__c5ec0f15df324ae0910b294f33ab9dd9.jpg
P262.847,66d5aed1ff025cb3bad4ea10,,1.28,,,P262.847__B_1__2d5953fdddea469f8448b17c4c94cff3.jpg
P262.849,66d5aed1ff025cb3bad4ea10,,1.28,,,P262.849__B_1__f5e31c1b99934a9698dd56b99b5d9162.jpg
P300.191,66d594f0ff025cb3bad44c98,,3.82,,,P300.191__B_1__88067c9cbb8c4fca8cc3c9d36261b855.jpg
P422.301,66d594f0ff025cb3bad44c98,,0.87,,,P422.301__B_1.jpg
P422.302,66d594f0ff025cb3bad44c98,,0.87,,,P422.302__B_1__14d7323fe7434ce3bb663dc99cc7d115.jpg
P422.305,66d594f0ff025cb3bad44c98,,0.87,,,P422.305__B_1__e7c1219ba0c548a8bf346a0e8a22852e.jpg
P422.351,66d5aed1ff025cb3bad4ea10,,1.37,,,P422.351__B_1__cb9ae1dd6e4540ee8c7e54ff7cc85675.jpg
P422.355,66d5aed1ff025cb3bad4ea10,,1.37,,,P422.355__B_1__9771bd4ba315427da7ce222557e11c16.jpg
P422.357,66d5aed1ff025cb3bad4ea10,,1.37,,,P422.357__B_1__e6a54c7e83b04b1e99e685101df73213.jpg
P422.381,66d5aed1ff025cb3bad4ea10,,1.69,,,P422.381__B_1__c7659a1fb1b2422a8c8c063aa6ad9b31.jpg
P422.382,66d5aed1ff025cb3bad4ea10,,1.69,,,P422.382__B_1__a657cea1e4434b8e9bc4155d5ececdf8.jpg
P422.385,66d5aed1ff025cb3bad4ea10,,1.69,,,P422.385__B_1__63e1e5eff3f2453bb8e2e3d685300299.jpg
P422.387,66d5aed1ff025cb3bad4ea10,,1.69,,,P422.387__B_1__3a9473a34d2c4259b54be27d404fb903.jpg
P422.390,66d5aed1ff025cb3bad4ea10,,3.54,,,P422.390__B_1__33831baeaa224f3cbed08123a6e960bd.jpg
P422.391,66d5aed1ff025cb3bad4ea10,,3.54,,,P422.391__B_1__f9a39da410c548a0ab9330ec4ab0ab8b.jpg
P422.392,66d5aed1ff025cb3bad4ea10,,3.54,,,P422.392__B_1__445846655b0447ac960202b1de339132.jpg
P422.395,66d5aed1ff025cb3bad4ea10,,3.54,,,P422.395__B_1__b66b4b499ec04b37a09239d99867c385.jpg
P422.397,66d5aed1ff025cb3bad4ea10,,3.54,,,P422.397__B_1__c4c9d05abcad4262bd28b35e57f223bf.jpg
P422.420,66d5aed1ff025cb3bad4ea10,,1.51,,,P422.420__B_1__eea6e4558f1b4ba2825474e8365bfff8.jpg
P422.421,66d5aed1ff025cb3bad4ea10,,1.51,,,P422.421__B_1__d7e87fcb1a034c338df14ae5b8c45eb4.jpg
P422.422,66d5aed1ff025cb3bad4ea10,,1.51,,,P422.422__B_1__20f43d1d2d2a49a5b731b04b514be01e.jpg
P422.425,66d5aed1ff025cb3bad4ea10,,1.51,,,P422.425__B_1__681c0520a17f4cd4be9df1437f2a9fdb.jpg
P422.427,66d5aed1ff025cb3bad4ea10,,1.51,,,P422.427__B_1__534b896d51554a2982eb1713a6d9362c.jpg
P422.431,66d594ffff025cb3bad44ca2,,2.62,,,P422.431__B_1__03eec6450f684f0b94224dae154282af.jpg
P422.441,66d594ffff025cb3bad44ca2,,1.06,,,P422.441__B_1__b33b346b5a1541aea0893388c927f488.jpg
P422.450,66d594f0ff025cb3bad44c98,,1.82,,,P422.450__B_1__1843da75317240598e97081fc9d6a9fe.jpg
P422.451,66d594f0ff025cb3bad44c98,,1.82,,,P422.451__B_1__a1e30027517e43b1bd17d004384194a3.jpg
P422.455,66d594f0ff025cb3bad44c98,,1.82,,,P422.455__B_1__20f09588114f4d74a354aa6480e3370f.jpg
P422.457,66d594f0ff025cb3bad44c98,,1.82,,,P422.457__B_1__3b7bb35097e04cc3b6a99945e2a154be.jpg
P422.458,66d594f0ff025cb3bad44c98,,1.82,,,P422.458__B_1__d62486e86be84e339235ae26da570e2c.jpg
P422.470,66d5aed1ff025cb3bad4ea10,,1.84,,,P422.470__B_1__f237d37bc55a4c8bae7345b787274af9.jpg
P422.471,66d5aed1ff025cb3bad4ea10,,1.84,,,P422.471__B_1__72402897707146bda279b21ff9c34359.jpg
P422.472,66d5aed1ff025cb3bad4ea10,,1.84,,,P422.472__B_1__80ba1d7ec0e645a781b34fa482760806.jpg
P422.479,66d5aed1ff025cb3bad4ea10,,1.84,,,P422.479__B_1__8e80db311c164218b06497ff39a1c165.jpg
P422.480,66d5aed1ff025cb3bad4ea10,,2.75,,,P422.480__B_1__f02cd3e254c64e778a5ee12a9369accb.jpg
P422.481,66d5aed1ff025cb3bad4ea10,,2.75,,,P422.481__B_1__bcf2e765838b49dcb0a78c02d8dbda50.jpg
P422.482,66d5aed1ff025cb3bad4ea10,,2.75,,,P422.482__B_1__7afc2cbdf80a41b197f88a1dd51e5921.jpg
P422.489,66d5aed1ff025cb3bad4ea10,,2.75,,,P422.489__B_1__9a64bb47c8d748b39d206c8d8699bcc2.jpg
P422.4901,66d5aed1ff025cb3bad4ea10,,,,,
P422.4919,66d5aed1ff025cb3bad4ea10,,,,,
P422.511,66d5aed1ff025cb3bad4ea10,,8.38,,,P422.511__B_1__858e5a21f62d4d79b44bf0ecc0b9cb15.jpg
P422.521,66d5aed1ff025cb3bad4ea10,,1.21,,,P422.521__B_1__34f32865b63e48a089eb918a57def29d.jpg
P422.522,66d5aed1ff025cb3bad4ea10,,1.21,,,P422.522__B_1__e918af6628cb4440b7965f59d105a5a0.jpg
P422.523,66d5aed1ff025cb3bad4ea10,,1.21,,,P422.523__B_1__0ec28947225948d080bc89092c4d3b08.jpg
P422.525,66d5aed1ff025cb3bad4ea10,,1.21,,,P422.525__B_1__4833358351134d8d93c8b8f93f7a1602.jpg
P422.527,66d5aed1ff025cb3bad4ea10,,1.21,,,P422.527__B_1__707a3bd757d24d6d93c2bb60916997b1.jpg
P422.5325,66d5aed1ff025cb3bad4ea10,,,,,
P422.5425,66d5aed1ff025cb3bad4ea10,,,,,
P453.001,66d5aed1ff025cb3bad4ea10,,0.91,,,P453.001__B_1__ebb55f207e3f45b4a2601272c50b0550.jpg
P453.002,66d5aed1ff025cb3bad4ea10,,0.91,,,P453.002__B_1__97ff680da4c849bca89c67b8a63507e4.jpg
P453.005,66d5aed1ff025cb3bad4ea10,,0.91,,,P453.005__B_1__66fc0c19b4644a4fb1a016f00e0e9f46.jpg
P453.080,66d5aed1ff025cb3bad4ea10,,0.74,,,P453.080__B_1__d197704e18904626b47fdc372d84d523.jpg
P453.081,66d5aed1ff025cb3bad4ea10,,0.74,,,P453.081__B_1__bc0b3e820b3948c6bb1f205fea49e721.jpg
P453.082,66d5aed1ff025cb3bad4ea10,,0.74,,,P453.082__B_1__515d1bbc893e4e478cfe64588c903de8.jpg
P453.085,66d5aed1ff025cb3bad4ea10,,0.74,,,P453.085__B_1__ed647f45e5b94c3cb12f5b043272e3d4.jpg
P453.251,66d5aed1ff025cb3bad4ea10,,0.43,,,P453.251__B_1__f72e14ea89f24abbb1a938e3743c7e1a.jpg
P453.252,66d5aed1ff025cb3bad4ea10,,0.43,,,P453.252__B_1__009ea8010ec24901b038f7e883d22b6b.jpg
P453.253,66d5aed1ff025cb3bad4ea10,,0.43,,,P453.253__B_1__f149aa38ea5c41a38ef2ab79b43a64f6.jpg
P453.255,66d5aed1ff025cb3bad4ea10,,0.43,,,P453.255__B_1__73401fbd164048a583eea45b1fd47c03.jpg
P453.257,66d5aed1ff025cb3bad4ea10,,0.43,,,P453.257__B_1__20a7f73bb416478eaa089a628bcf5729.jpg
P453.301,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.301__B_1__d34f4db343734e7d9d51b6affbc17558.jpg
P453.3010,66d5aed1ff025cb3bad4ea10,,0.61,0,0,
P453.3019,66d5aed1ff025cb3bad4ea10,,0.61,0,0,
P453.3025,66d5aed1ff025cb3bad4ea10,,0.61,0,0,
P453.303,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.303__B_1__2aef3697a13d4c40ae552c2850f33f92.jpg
P453.304,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.304__B_1__c6112ef4a6344eaca7e1faed79ab8ffe.jpg
P453.305,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.305__B_1__30aa62a607c14e0b9a29513f279a75ff.jpg
P453.306,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.306__B_1__7d7a3d96917f46cf9f16c109b83ae480.jpg
P453.307,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.307__B_1__ce24e0f2cb58486a9a88203dcd32dc05.jpg
P453.309,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.309__B_1__61e6613b797e4e76a5e6aa3d18c20a72.jpg
P453.311,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.311__B_1__6e65da0d43b54c1f9475753a15eded5e.jpg
P453.3110,66d5aed1ff025cb3bad4ea10,,0.61,0,0,
P453.3119,66d5aed1ff025cb3bad4ea10,,0.61,0,0,
P453.3125,66d5aed1ff025cb3bad4ea10,,0.61,0,0,
P453.313,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.313__B_1__0a52414fa46546a9b9da93a9537cecdb.jpg
P453.314,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.314__B_1__7dc3f3bef7d547e88e531648e9be35b2.jpg
P453.315,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.315__B_1__684f9f7a1822467c9df310cbf6c68c5e.jpg
P453.316,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.316__B_1__0252e34b60ca4dad8b101fef2e8639bd.jpg
P453.317,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.317__B_1__7d079966d80c457eba7306e083750eac.jpg
P453.319,66d5aed1ff025cb3bad4ea10,,0.61,,,P453.319__B_1__e425f4399b8c4a40bb2fee57e84b1039.jpg
P453.321,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.321__B_1__42d69eb0afef48b4b8e91dd802e8209b.jpg
P453.323,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.323__B_1__c7a11537f2e04028a69ee81cf76229b0.jpg
P453.324,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.324__B_1__44ce32505ee943028fc1a534b7c88abe.jpg
P453.325,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.325__B_1__7dd7987fca884128afb8b2c6711c078c.jpg
P453.326,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.326__B_1__3cd9f3ef730544d28deb929aaabd7fb7.jpg
P453.327,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.327__B_1__3b918e8b5cdd446dbdfb962b451feace.jpg
P453.329,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.329__B_1__4d2fa05712b64c6d9cef14df09bc2367.jpg
P453.331,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.331__B_1__d2955bec1ab64d288a574e70ea77d583.jpg
P453.333,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.333__B_1__2dea6ba8146b4283ae94974c2331b0c0.jpg
P453.334,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.334__B_1__da33ce807f8a4198beb1a08e448fa9c8.jpg
P453.335,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.335__B_1__d0f072804b334ba39ec907ff41698fce.jpg
P453.336,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.336__B_1__21d078ca723f4c778e53317bbf587e10.jpg
P453.337,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.337__B_1__3ba4f7806c7e4ca38922ddd3db1bf19d.jpg
P453.339,66d5aed1ff025cb3bad4ea10,,0.54,,,P453.339__B_1__7d9bb1155def47d7986afa93994e4675.jpg
P453.340,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.340__B_1__89750793f0d74b80aaa107d3ffc5cae4.jpg
P453.341,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.341__B_1__cece8494a66f400993c8650000b0473b.jpg
P453.3410,66d5aed1ff025cb3bad4ea10,,0.44,0,0,
P453.3419,66d5aed1ff025cb3bad4ea10,,0.44,0,0,
P453.342,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.342__B_1__a310ebf53f654c15959cf6c9a127b5b9.jpg
P453.3425,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.3425__B_1__9207245c1a0a47829ac0b760b02e4c14.jpg
P453.343,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.343__B_1__62a20151ff0c428290b8e5a709ae60ad.jpg
P453.344,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.344__B_1__48244f5fbb4f490dafeb84479c350aaf.jpg
P453.345,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.345__B_1__d51acea369c04aa5bc9b32a93ea863b0.jpg
P453.346,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.346__B_1__5c35d13f3dda402b96e36ec9a7b60205.jpg
P453.347,66d5aed1ff025cb3bad4ea10,,0.44,,,P453.347__B_1__bdddd262155c4b7ca39c6d2f5f93ebc4.jpg
P453.351,66d5aed1ff025cb3bad4ea10,,0.37,,,P453.351__B_1__57ef5bb19b3c4341b07ff0438239390e.jpg
P453.353,66d5aed1ff025cb3bad4ea10,,0.37,,,P453.353__B_1__abd13d9833e84681bf4021d9ee5bfbf2.jpg
P453.354,66d5aed1ff025cb3bad4ea10,,0.37,,,P453.354__B_1__45397133da964c69b67776664498974c.jpg
P453.355,66d5aed1ff025cb3bad4ea10,,0.37,0,0,
